x,y
-1.775692,-2.140383
-1.776913,-2.140078
-1.774166,-2.139162
-1.775082,-2.139772
-1.777523,-2.140383
-1.774166,-2.139162
-1.776608,-2.140078
-1.776302,-2.137941
-1.775387,-2.138857
-1.775387,-2.138247
-1.776913,-2.137941
-1.776302,-2.137331
-1.773251,-2.138552
-1.774166,-2.137941
-1.775692,-2.140078
-1.775387,-2.138247
-1.777218,-2.138552
-1.773861,-2.139162
-1.773861,-2.138552
-1.772945,-2.138552
-1.774776,-2.137636
-1.774471,-2.136415
-1.774166,-2.137636
-1.775387,-2.138247
-1.77264,-2.137941
-1.773861,-2.138247
-1.776913,-2.140383
-1.77264,-2.140078
-1.776302,-2.140688
-1.773251,-2.139162
-1.773861,-2.139772
-1.774166,-2.139162
-1.774166,-2.140078
-1.772335,-2.139162
-1.775082,-2.137941
-1.773251,-2.138247
-1.774166,-2.138857
-1.773251,-2.138552
-1.773251,-2.138857
-1.774776,-2.138552
-1.772945,-2.139772
-1.773861,-2.139772
-1.773861,-2.140078
-1.773861,-2.138247
-1.773861,-2.137636
-1.774166,-2.138247
-1.774166,-2.138857
-1.77264,-2.138857
-1.773251,-2.138552
-1.774776,-2.138552
-1.774776,-2.140078
-1.773861,-2.140078
-1.772945,-2.139772
-1.774166,-2.138247
-1.773861,-2.139772
-1.773861,-2.140993
-1.774166,-2.141909
-1.772945,-2.140688
-1.77264,-2.139772
-1.772945,-2.139772
-1.772945,-2.140383
-1.773861,-2.140688
-1.77264,-2.139772
-1.772945,-2.139162
-1.772335,-2.140078
-1.77264,-2.140993
-1.77264,-2.141909
-1.77264,-2.138857
-1.772945,-2.139772
-1.77203,-2.140078
-1.772945,-2.139162
-1.772945,-2.137941
-1.77203,-2.137331
-1.772945,-2.138552
-1.772335,-2.139162
-1.772335,-2.140383
-1.772335,-2.138552
-1.77264,-2.139162
-1.772335,-2.139772
-1.77264,-2.140383
-1.773861,-2.138857
-1.772335,-2.139162
-1.77264,-2.138552
-1.77264,-2.140078
-1.772335,-2.140078
-1.77264,-2.139162
-1.772335,-2.138247
-1.773861,-2.140078
-1.77264,-2.140383
-1.770809,-2.140383
-1.772335,-2.140383
-1.770504,-2.140993
-1.772945,-2.140383
-1.770504,-2.140383
-1.77264,-2.140383
-1.77264,-2.140688
-1.771725,-2.140993
-1.77203,-2.138857
-1.77203,-2.140078
-1.772335,-2.13611
-1.77264,-2.137331
-1.770809,-2.133974
-1.77264,-2.13611
-1.772335,-2.136721
-1.774166,-2.135805
-1.771725,-2.138857
-1.77203,-2.136721
-1.774471,-2.140078
-1.771725,-2.140688
-1.770504,-2.138552
-1.770504,-2.138552
-1.769588,-2.138857
-1.772335,-2.139162
-1.769588,-2.140078
